id	filename	md5	size	state
ef62a9f1-f305-4a67-ad3b-21b85065bcad	mirnas.quantification.txt	a4da21e0460e442cb50a3b945f56d68c	50328	submitted
d2bbd340-575b-4927-97f0-94ba0e4507b6	mirnas.quantification.txt	ef1fdb1019ab92822ffd4340bc8a6ddf	50370	submitted
74d14580-9edd-4118-9171-8efd17a4a85f	mirnas.quantification.txt	d6427b01abfb5cce10dc14b6c335f2f5	50476	submitted
712899b3-ba90-44fd-b9cd-50ae3b4a4d34	mirnas.quantification.txt	bb068bf81791d1deee8055ae2039d564	50474	submitted
75359bca-c1af-4bea-94c8-aba4b871f33a	mirnas.quantification.txt	321706cc23b4afabda4c618bdcd2174b	50580	submitted
79f499fe-6565-4805-9f29-95c4d36380cc	mirnas.quantification.txt	6b245a930e62f0169ac0ad21bb834df8	50219	submitted
60597b90-8181-4347-913d-01eb70f20cc5	mirnas.quantification.txt	f2d7a29eecd8e8037007d4c4ecaa5a41	50185	submitted
957ed6f3-00d9-43cb-bafd-651b2f2eab22	mirnas.quantification.txt	c2274ed6520f1721ef9b2c11ac4c3151	50325	submitted
44c09f86-51ab-44bb-be7c-ac63caa8d3c5	mirnas.quantification.txt	bbd2c9710272e7ca5681efd54f308798	50184	submitted
3b6ae6d8-50d5-4d0b-9de5-11eff0bb3e75	mirnas.quantification.txt	046f63014ee1ca1b9b4b319cfa9c1c30	50350	submitted
5c5d4ec1-ddbd-4bc9-bd1c-1915ccf46292	mirnas.quantification.txt	3a789697f80840bc7bf5a0d0f846e41c	50414	submitted
39d536df-244c-4202-a04c-2cede1b47ffa	mirnas.quantification.txt	441282f6fd0b7c39591d63c155a18503	50430	submitted
e831129d-5ee4-4a55-b60f-ed0c995d63aa	mirnas.quantification.txt	72feac3a45f870058a6486fe15aea9e5	50302	submitted
c0c6ee7b-850f-48a6-9ab8-c92440ca96de	mirnas.quantification.txt	912a40c06c1e883f42bcaa65846572f8	50580	submitted
776154a1-b88b-40fb-b8c3-3ac66cf977e9	mirnas.quantification.txt	fcec16d60e82e21a138d93ac7296e0e1	50292	submitted
22583e02-35f4-4ca2-bcc5-dacf3754d143	mirnas.quantification.txt	e90bb9d418d8ed291f2b4badda7517cd	50248	submitted
ef450120-b901-4e02-8aa9-847f1eaf88d4	mirnas.quantification.txt	0f14d9c2ee37219ffb7c0b72328e5d8d	50407	submitted
bf1122aa-ee46-47d8-beaf-fbfe81071749	mirnas.quantification.txt	52764e6dec971aba451f5013befefbc2	50481	submitted
9b4af0b1-8dcb-4b4a-8f44-b17c57bd159d	mirnas.quantification.txt	c550b9f47adb4c72794734590924cff7	50141	submitted
4fb83420-8ada-4f22-bb93-d873d06f3ca3	mirnas.quantification.txt	b9b5c22616b8a2896ee103a585126cae	50327	submitted
2ed8171b-8bd0-433b-8642-017da8d80c0e	mirnas.quantification.txt	95b9c87db408639b5dea756cdb0fd80c	50126	submitted
da13fa83-2b1c-4ce0-8a15-e9fe45f304ae	mirnas.quantification.txt	593b6a6831e2087562a51122539fdbe2	50394	submitted
afba8bb7-96c5-4441-b3e4-7920558234b3	mirnas.quantification.txt	a06f32511f01cec016dbd0c52036ff3c	50181	submitted
